,Close
2024-05-13,39.7
2024-05-10,39.31
2024-05-09,38.54
2024-05-08,39.05
2024-05-07,38.49
2024-05-06,38.49
2024-05-03,38.69
2024-05-02,38.36
2024-05-01,38.2
2024-04-30,38.11
2024-04-29,38.85
2024-04-26,38.57
2024-04-25,37.87
2024-04-24,40.21
2024-04-23,40.36
2024-04-22,40.57
2024-04-19,40.26
2024-04-18,39.62
2024-04-17,38.99
2024-04-16,39.12
2024-04-15,39.43
2024-04-12,39.37
2024-04-11,40.14
2024-04-10,39.72
2024-04-09,40.15
2024-04-08,40.71
2024-04-05,40.9
2024-04-04,41.11
2024-04-03,41.53
2024-04-02,41.81
2024-04-01,42.28
2024-03-28,43.35
2024-03-27,43.07
2024-03-26,42.48
2024-03-25,42.64
2024-03-22,42.74
2024-03-21,42.89
2024-03-20,43.1
2024-03-19,42.99
2024-03-18,43.12
2024-03-15,42.77
2024-03-14,42.82
2024-03-13,43.28
2024-03-12,43.185
2024-03-11,43.54
2024-03-08,42.58
2024-03-07,41.74
2024-03-06,42.15
2024-03-05,42.06
2024-03-04,41.85
2024-03-01,42.8
2024-02-29,42.85
2024-02-28,42.15
2024-02-27,42.27
2024-02-26,42.19
2024-02-23,41.9
2024-02-22,41.91
2024-02-21,41.85
2024-02-20,41.66
2024-02-16,41.24
2024-02-15,41.8
2024-02-14,42.02
2024-02-13,41.85
2024-02-12,42.61
2024-02-09,42.07
2024-02-08,41.25
2024-02-07,42.86
2024-02-06,44.42
2024-02-05,44.87
2024-02-02,45.09
2024-02-01,46.73
2024-01-31,46.54
2024-01-30,46.65
2024-01-29,46.11
2024-01-26,46.26
2024-01-25,45.27
2024-01-24,43.8
2024-01-23,43.95
2024-01-22,43.62
2024-01-19,43.35
2024-01-18,42.54
2024-01-17,42.35
2024-01-16,43.09
2024-01-12,42.99
2024-01-11,43.27
2024-01-10,43.48
2024-01-09,43.28
2024-01-08,43.73
2024-01-05,43.04
2024-01-04,42.63
2024-01-03,43.31
2024-01-02,43.67
2023-12-29,43.85
2023-12-28,44.12
2023-12-27,43.99
2023-12-26,43.93
2023-12-22,44.0
2023-12-21,44.02
2023-12-20,44.2
2023-12-19,44.7
2023-12-18,44.7
2023-12-15,44.48
2023-12-14,44.64
2023-12-13,43.67
2023-12-12,42.67
2023-12-11,42.66
2023-12-08,42.1
2023-12-07,42.17
2023-12-06,41.69
2023-12-05,41.61
2023-12-04,43.08
2023-12-01,42.21
2023-11-30,41.89
2023-11-29,41.63
2023-11-28,41.87
2023-11-27,42.09
2023-11-24,42.58
2023-11-22,42.48
2023-11-21,42.6
2023-11-20,42.94
2023-11-17,42.42
2023-11-16,42.41
2023-11-15,42.53
2023-11-14,41.87
2023-11-13,41.49
2023-11-10,41.91
2023-11-09,40.88
2023-11-08,41.52
2023-11-07,42.04
2023-11-06,42.46
2023-11-03,43.18
2023-11-02,42.5
2023-11-01,41.82
2023-10-31,41.29
2023-10-30,40.45
2023-10-27,39.64
2023-10-26,39.15
2023-10-25,42.75
2023-10-24,43.46
2023-10-23,42.94
2023-10-20,42.86
2023-10-19,43.07
2023-10-18,44.02
2023-10-17,44.36
2023-10-16,44.25
2023-10-13,43.81
2023-10-12,43.9
2023-10-11,44.24
2023-10-10,44.47
2023-10-09,44.09
2023-10-06,43.47
2023-10-05,43.02
2023-10-04,43.47
2023-10-03,43.45
2023-10-02,44.49
2023-09-29,44.34
2023-09-28,44.86
2023-09-27,44.6
2023-09-26,44.24
2023-09-25,44.87
2023-09-22,45.3
2023-09-21,45.7
2023-09-20,45.5
2023-09-19,45.73
2023-09-18,45.64
2023-09-15,45.34
2023-09-14,45.97
2023-09-13,45.19
2023-09-12,45.19
2023-09-11,45.26
2023-09-08,45.03
2023-09-07,44.84
2023-09-06,44.93
2023-09-05,44.56
2023-09-01,45.73
2023-08-31,46.76
2023-08-30,47.12
2023-08-29,46.78
2023-08-28,45.98
2023-08-25,45.47
2023-08-24,45.24
2023-08-23,45.46
2023-08-22,45.57
2023-08-21,45.86
2023-08-18,45.76
2023-08-17,46.24
2023-08-16,46.34
2023-08-15,47.03
2023-08-14,46.56
2023-08-11,46.03
2023-08-10,45.93
2023-08-09,45.28
2023-08-08,45.4
2023-08-07,45.45
2023-08-04,44.84
2023-08-03,45.17
2023-08-02,45.09
2023-08-01,45.31
2023-07-31,45.26
2023-07-28,45.23
2023-07-27,45.35
2023-07-26,42.91
2023-07-25,43.3
2023-07-24,43.29
2023-07-21,42.89
2023-07-20,43.21
2023-07-19,42.71
2023-07-18,42.44
2023-07-17,42.09
2023-07-14,42.01
2023-07-13,42.56
2023-07-12,42.34
2023-07-11,42.01
2023-07-10,41.85
2023-07-07,41.43
2023-07-06,41.21
2023-07-05,41.48
2023-07-03,41.76
2023-06-30,41.55
2023-06-29,41.47
2023-06-28,41.67
2023-06-27,41.48
2023-06-26,40.56
2023-06-23,40.09
2023-06-22,40.58
2023-06-21,40.62
2023-06-20,40.64
2023-06-16,41.2
2023-06-15,41.47
2023-06-14,40.84
2023-06-13,40.68
2023-06-12,40.69
2023-06-09,40.23
2023-06-08,40.47
