,Close
2024-05-13,67.36
2024-05-10,67.88
2024-05-09,67.62
2024-05-08,66.78
2024-05-07,66.41
2024-05-06,66.74
2024-05-03,68.43
2024-05-02,68.09
2024-05-01,68.18
2024-04-30,67.94
2024-04-29,68.48
2024-04-26,68.17
2024-04-25,68.14
2024-04-24,67.74
2024-04-23,67.51
2024-04-22,67.45
2024-04-19,67.55
2024-04-18,67.5
2024-04-17,68.48
2024-04-16,68.79
2024-04-15,69.39
2024-04-12,70.45
2024-04-11,69.88
2024-04-10,74.74
2024-04-09,75.9
2024-04-08,75.89
2024-04-05,76.63
2024-04-04,75.17
2024-04-03,76.35
2024-04-02,76.3
2024-04-01,76.59
2024-03-28,77.14
2024-03-27,77.28
2024-03-26,76.78
2024-03-25,77.01
2024-03-22,78.1
2024-03-21,78.42
2024-03-20,77.66
2024-03-19,76.21
2024-03-18,75.7
2024-03-15,75.03
2024-03-14,75.27
2024-03-13,75.04
2024-03-12,75.26
2024-03-11,74.32
2024-03-08,75.63
2024-03-07,75.94
2024-03-06,74.32
2024-03-05,74.34
2024-03-04,74.79
2024-03-01,72.84
2024-02-29,73.01
2024-02-28,73.56
2024-02-27,73.15
2024-02-26,73.0
2024-02-23,72.18
2024-02-22,72.06
2024-02-21,70.33
2024-02-20,70.08
2024-02-16,70.24
2024-02-15,70.15
2024-02-14,70.13
2024-02-13,68.92
2024-02-12,70.01
2024-02-09,70.02
2024-02-08,69.26
2024-02-07,69.46
2024-02-06,69.48
2024-02-05,69.46
2024-02-02,70.65
2024-02-01,69.84
2024-01-31,68.23
2024-01-30,69.11
2024-01-29,68.6
2024-01-26,68.4
2024-01-25,69.21
2024-01-24,68.84
2024-01-23,69.51
2024-01-22,69.91
2024-01-19,69.34
2024-01-18,67.93
2024-01-17,63.38
2024-01-16,63.77
2024-01-12,63.52
2024-01-11,63.37
2024-01-10,63.08
2024-01-09,62.53
2024-01-08,62.47
2024-01-05,61.98
2024-01-04,62.19
2024-01-03,62.08
2024-01-02,63.55
2023-12-29,64.77
2023-12-28,64.84
2023-12-27,65.34
2023-12-26,65.45
2023-12-22,65.34
2023-12-21,65.09
2023-12-20,64.64
2023-12-19,64.69
2023-12-18,64.63
2023-12-15,64.16
2023-12-14,64.23
2023-12-13,64.04
2023-12-12,63.88
2023-12-11,63.35
2023-12-08,62.29
2023-12-07,62.36
2023-12-06,62.13
2023-12-05,60.75
2023-12-04,60.97
2023-12-01,60.82
2023-11-30,59.97
2023-11-29,59.64
2023-11-28,59.9
2023-11-27,60.95
2023-11-24,60.96
2023-11-22,60.87
2023-11-21,60.7
2023-11-20,60.92
2023-11-17,60.75
2023-11-16,60.66
2023-11-15,60.11
2023-11-14,61.0
2023-11-13,59.64
2023-11-10,60.01
2023-11-09,59.13
2023-11-08,59.26
2023-11-07,59.02
2023-11-06,58.72
2023-11-03,59.8
2023-11-02,59.86
2023-11-01,58.91
2023-10-31,58.34
2023-10-30,58.23
2023-10-27,57.61
2023-10-26,57.24
2023-10-25,57.08
