,Close
2024-05-08,5187.67
2024-05-07,5187.7
2024-05-06,5180.74
2024-05-03,5127.79
2024-05-02,5064.2
2024-05-01,5018.39
2024-04-30,5035.69
2024-04-29,5116.17
2024-04-26,5099.96
2024-04-25,5048.42
2024-04-24,5071.63
2024-04-23,5070.55
2024-04-22,5010.6
2024-04-19,4967.23
2024-04-18,5011.12
2024-04-17,5022.21
2024-04-16,5051.41
2024-04-15,5061.82
2024-04-12,5123.41
2024-04-11,5199.06
2024-04-10,5160.64
2024-04-09,5209.91
2024-04-08,5202.39
2024-04-05,5204.34
2024-04-04,5147.21
2024-04-03,5211.49
2024-04-02,5205.81
2024-04-01,5243.77
2024-03-28,5254.35
2024-03-27,5248.49
2024-03-26,5203.58
2024-03-25,5218.19
2024-03-22,5234.18
2024-03-21,5241.53
2024-03-20,5224.62
2024-03-19,5178.51
2024-03-18,5149.42
2024-03-15,5117.09
2024-03-14,5150.48
2024-03-13,5165.31
2024-03-12,5175.27
2024-03-11,5117.94
2024-03-08,5123.69
2024-03-07,5157.36
2024-03-06,5104.76
2024-03-05,5078.65
2024-03-04,5130.95
2024-03-01,5137.08
2024-02-29,5096.27
2024-02-28,5069.76
2024-02-27,5078.18
2024-02-26,5069.53
2024-02-23,5088.8
2024-02-22,5087.03
2024-02-21,4981.8
2024-02-20,4975.51
2024-02-16,5005.57
2024-02-15,5029.73
2024-02-14,5000.62
2024-02-13,4953.17
2024-02-12,5021.84
2024-02-09,5026.61
2024-02-08,4997.91
2024-02-07,4995.06
2024-02-06,4954.23
2024-02-05,4942.81
2024-02-02,4958.61
2024-02-01,4906.19
2024-01-31,4845.65
2024-01-30,4924.97
2024-01-29,4927.93
2024-01-26,4890.97
2024-01-25,4894.16
2024-01-24,4868.55
2024-01-23,4864.6
2024-01-22,4850.43
2024-01-19,4839.81
2024-01-18,4780.94
2024-01-17,4739.21
2024-01-16,4765.98
2024-01-12,4783.83
2024-01-11,4780.24
2024-01-10,4783.45
2024-01-09,4756.5
2024-01-08,4763.54
2024-01-05,4697.24
2024-01-04,4688.68
2024-01-03,4704.81
2024-01-02,4742.83
2023-12-29,4769.83
2023-12-28,4783.35
2023-12-27,4781.58
2023-12-26,4774.75
2023-12-22,4754.63
2023-12-21,4746.75
2023-12-20,4698.35
2023-12-19,4768.37
2023-12-18,4740.56
