,Close
2024-05-13,52.63
2024-05-10,51.09
2024-05-09,51.6
2024-05-08,52.36
2024-05-07,53.26
2024-05-06,49.73
2024-05-03,49.27
2024-05-02,48.28
2024-05-01,47.04
2024-04-30,48.88
2024-04-29,48.8
2024-04-26,48.39
2024-04-25,47.79
2024-04-24,47.31
2024-04-23,46.35
2024-04-22,46.37
2024-04-19,46.26
2024-04-18,46.89
2024-04-17,47.36
2024-04-16,47.8
2024-04-15,47.26
2024-04-12,49.38
2024-04-11,51.19
2024-04-10,49.35
2024-04-09,51.69
2024-04-08,50.26
2024-04-05,50.55
2024-04-04,50.52
2024-04-03,51.23
2024-04-02,51.11
2024-04-01,51.79
2024-03-28,52.11
2024-03-27,51.73
2024-03-26,50.79
2024-03-25,51.85
2024-03-22,52.21
2024-03-21,52.48
2024-03-20,52.44
2024-03-19,51.29
2024-03-18,52.1
2024-03-15,51.88
2024-03-14,52.56
2024-03-13,53.73
2024-03-12,54.0
2024-03-11,53.46
2024-03-08,52.41
2024-03-07,53.8
2024-03-06,52.57
2024-03-05,52.53
2024-03-04,54.62
2024-03-01,55.66
2024-02-29,54.67
2024-02-28,52.64
2024-02-27,53.5
2024-02-26,54.52
2024-02-23,53.15
2024-02-22,54.11
2024-02-21,53.39
2024-02-20,54.5
2024-02-16,53.38
2024-02-15,54.33
2024-02-14,54.97
2024-02-13,54.66
2024-02-12,55.82
2024-02-09,55.94
2024-02-08,54.78
2024-02-07,52.54
2024-02-06,51.65
2024-02-05,51.565
2024-02-02,55.27
2024-02-01,54.66
2024-01-31,54.98
2024-01-30,56.47
2024-01-29,57.35
2024-01-26,56.5
2024-01-25,59.33
2024-01-24,60.27
2024-01-23,60.42
2024-01-22,58.74
2024-01-19,59.17
2024-01-18,56.77
2024-01-17,54.87
2024-01-16,55.61
2024-01-12,57.39
2024-01-11,56.95
2024-01-10,57.18
2024-01-09,58.42
2024-01-08,58.2
2024-01-05,56.04
2024-01-04,55.83
2024-01-03,57.02
2024-01-02,58.0
2023-12-29,60.6
2023-12-28,61.51
2023-12-27,62.24
2023-12-26,61.99
2023-12-22,60.34
2023-12-21,59.81
2023-12-20,58.04
2023-12-19,58.63
2023-12-18,58.52
2023-12-15,58.75
2023-12-14,59.22
2023-12-13,57.75
2023-12-12,56.31
2023-12-11,55.35
2023-12-08,52.5
2023-12-07,52.76
2023-12-06,51.08
2023-12-05,51.62
2023-12-04,52.46
2023-12-01,53.63
2023-11-30,53.69
2023-11-29,54.95
2023-11-28,54.84
2023-11-27,55.37
2023-11-24,55.96
2023-11-22,56.87
2023-11-21,56.49
2023-11-20,58.42
2023-11-17,56.31
2023-11-16,56.42
2023-11-15,56.14
2023-11-14,55.79
2023-11-13,52.13
2023-11-10,51.97
2023-11-09,50.81
2023-11-08,53.02
2023-11-07,54.27
2023-11-06,51.66
2023-11-03,52.85
2023-11-02,50.38
2023-11-01,48.85
2023-10-31,49.62
2023-10-30,49.91
2023-10-27,51.98
2023-10-26,52.06
2023-10-25,51.59
2023-10-24,54.39
2023-10-23,53.95
2023-10-20,54.36
2023-10-19,55.83
2023-10-18,55.61
2023-10-17,56.48
2023-10-16,56.52
2023-10-13,55.65
2023-10-12,57.23
2023-10-11,57.23
2023-10-10,58.02
2023-10-09,56.48
2023-10-06,56.92
2023-10-05,56.47
2023-10-04,57.06
2023-10-03,56.06
2023-10-02,57.97
2023-09-29,58.19
2023-09-28,58.6
2023-09-27,57.81
2023-09-26,56.23
2023-09-25,57.26
2023-09-22,56.83
2023-09-21,57.31
2023-09-20,57.35
2023-09-19,57.86
2023-09-18,58.25
2023-09-15,58.08
2023-09-14,60.76
2023-09-13,59.81
2023-09-12,60.07
2023-09-11,59.01
2023-09-08,57.99
2023-09-07,56.53
2023-09-06,55.78
2023-09-05,56.15
2023-09-01,55.44
2023-08-31,55.25
2023-08-30,54.69
2023-08-29,54.53
2023-08-28,52.74
2023-08-25,52.52
2023-08-24,52.17
2023-08-23,54.63
2023-08-22,54.03
2023-08-21,54.97
2023-08-18,53.91
2023-08-17,54.65
2023-08-16,55.95
2023-08-15,57.17
2023-08-14,58.19
2023-08-11,56.88
2023-08-10,58.49
2023-08-09,59.21
2023-08-08,60.13
2023-08-07,59.15
2023-08-04,58.77
2023-08-03,59.66
2023-08-02,60.35
2023-08-01,62.23
2023-07-31,63.69
2023-07-28,62.75
2023-07-27,61.46
2023-07-26,60.65
2023-07-25,62.44
2023-07-24,61.85
2023-07-21,63.75
2023-07-20,64.32
2023-07-19,66.73
2023-07-18,67.45
2023-07-17,68.1
2023-07-14,66.72
2023-07-13,66.74
2023-07-12,65.55
2023-07-11,64.2
2023-07-10,64.33
2023-07-07,62.54
2023-07-06,61.79
2023-07-05,63.35
2023-07-03,64.74
2023-06-30,64.58
2023-06-29,63.09
2023-06-28,62.97
2023-06-27,62.83
2023-06-26,59.86
2023-06-23,57.69
2023-06-22,59.61
2023-06-21,59.44
2023-06-20,61.85
2023-06-16,62.46
2023-06-15,62.94
2023-06-14,62.48
2023-06-13,62.89
2023-06-12,62.3
2023-06-09,59.43
2023-06-08,59.4
2023-06-07,59.2
2023-06-06,57.4
2023-06-05,56.63
2023-06-02,59.17
2023-06-01,59.35
2023-05-31,58.33
2023-05-30,60.69
2023-05-26,60.05
2023-05-25,56.41
2023-05-24,55.51
2023-05-23,57.52
2023-05-22,57.4
2023-05-19,56.97
2023-05-18,56.89
2023-05-17,55.74
2023-05-16,54.23
2023-05-15,54.78
2023-05-12,53.72
2023-05-11,53.98
2023-05-10,54.5
2023-05-09,54.23
2023-05-08,59.8
2023-05-05,59.41
2023-05-04,58.22
2023-05-03,59.43
2023-05-02,59.39
2023-05-01,59.18
2023-04-28,58.8
2023-04-27,58.01
2023-04-26,58.25
2023-04-25,58.47
2023-04-24,60.98
2023-04-21,61.88
2023-04-20,62.7
2023-04-19,63.98
2023-04-18,65.12
2023-04-17,65.25
2023-04-14,65.85
2023-04-13,65.93
2023-04-12,66.06
2023-04-11,67.7
2023-04-10,67.75
2023-04-06,66.9
2023-04-05,66.22
2023-04-04,69.34
2023-04-03,70.71
2023-03-31,72.18
2023-03-30,70.56
2023-03-29,69.42
2023-03-28,66.25
2023-03-27,67.8
2023-03-24,69.05
2023-03-23,69.74
2023-03-22,68.26
2023-03-21,68.84
2023-03-20,68.09
2023-03-17,66.46
2023-03-16,66.77
2023-03-15,64.75
2023-03-14,65.85
2023-03-13,64.05
2023-03-10,64.2
2023-03-09,66.4
2023-03-08,67.51
2023-03-07,65.06
2023-03-06,66.19
2023-03-03,66.71
2023-03-02,65.54
2023-03-01,65.11
2023-02-28,65.34
2023-02-27,64.89
2023-02-24,64.69
2023-02-23,64.43
2023-02-22,63.22
2023-02-21,63.11
2023-02-17,67.16
2023-02-16,69.53
2023-02-15,69.92
2023-02-14,71.73
2023-02-13,66.15
2023-02-10,64.59
2023-02-09,64.9
2023-02-08,62.72
2023-02-07,63.0
2023-02-06,61.49
2023-02-03,63.25
2023-02-02,64.79
2023-02-01,63.19
2023-01-31,59.28
2023-01-30,57.51
2023-01-27,59.24
2023-01-26,60.14
2023-01-25,58.7
2023-01-24,59.01
2023-01-23,58.66
2023-01-20,56.45
2023-01-19,55.55
2023-01-18,58.1
2023-01-17,59.04
