,Close
2024-05-13,55.83
2024-05-10,55.46
2024-05-09,55.24
2024-05-08,54.93
2024-05-07,55.02
2024-05-06,54.36
2024-05-03,54.25
2024-05-02,53.79
2024-05-01,53.78
2024-04-30,53.73
2024-04-29,54.48
2024-04-26,53.96
2024-04-25,55.01
2024-04-24,55.33
2024-04-23,55.27
2024-04-22,54.96
2024-04-19,54.73
2024-04-18,53.76
2024-04-17,53.19
2024-04-16,52.53
2024-04-15,53.17
2024-04-12,53.17
2024-04-11,53.49
2024-04-10,53.75
2024-04-09,54.37
2024-04-08,54.08
2024-04-05,53.53
2024-04-04,53.77
2024-04-03,54.09
2024-04-02,54.08
2024-04-01,53.28
2024-03-28,53.75
2024-03-27,53.38
2024-03-26,51.8
2024-03-25,52.48
2024-03-22,52.27
2024-03-21,52.3
2024-03-20,52.58
2024-03-19,52.43
2024-03-18,52.04
2024-03-15,51.99
2024-03-14,51.88
2024-03-13,51.5
2024-03-12,51.9
2024-03-11,52.91
2024-03-08,51.02
2024-03-07,50.04
2024-03-06,48.44
2024-03-05,48.65
2024-03-04,51.06
2024-03-01,49.57
2024-02-29,52.69
2024-02-28,57.67
2024-02-27,58.28
2024-02-26,58.05
2024-02-23,59.33
2024-02-22,59.33
2024-02-21,59.81
2024-02-20,59.19
2024-02-16,59.07
2024-02-15,59.01
2024-02-14,58.68
2024-02-13,58.28
2024-02-12,58.97
2024-02-09,58.17
2024-02-08,58.0
2024-02-07,58.37
2024-02-06,58.44
2024-02-05,58.52
2024-02-02,59.82
2024-02-01,61.14
2024-01-31,59.87
2024-01-30,59.76
2024-01-29,59.66
2024-01-26,59.39
2024-01-25,58.89
2024-01-24,58.22
2024-01-23,59.19
2024-01-22,58.93
2024-01-19,59.48
2024-01-18,59.65
2024-01-17,60.09
2024-01-16,60.91
2024-01-12,61.31
2024-01-11,61.0
2024-01-10,62.72
2024-01-09,63.27
2024-01-08,63.58
2024-01-05,63.73
2024-01-04,63.73
2024-01-03,63.58
2024-01-02,63.47
2023-12-29,61.91
2023-12-28,61.89
2023-12-27,61.54
2023-12-26,62.25
2023-12-22,62.06
2023-12-21,61.53
2023-12-20,61.31
2023-12-19,62.12
2023-12-18,62.35
2023-12-15,61.58
2023-12-14,62.57
2023-12-13,63.33
2023-12-12,61.16
2023-12-11,61.55
2023-12-08,60.91
2023-12-07,61.55
2023-12-06,61.97
2023-12-05,61.03
2023-12-04,61.47
2023-12-01,61.43
2023-11-30,60.84
2023-11-29,60.0
2023-11-28,60.97
2023-11-27,60.45
2023-11-24,60.52
2023-11-22,60.43
2023-11-21,60.02
2023-11-20,60.06
2023-11-17,60.56
2023-11-16,60.7
2023-11-15,60.09
2023-11-14,60.3
2023-11-13,58.27
2023-11-10,59.2
2023-11-09,58.7
2023-11-08,59.08
2023-11-07,59.83
2023-11-06,60.56
2023-11-03,61.03
2023-11-02,61.07
2023-11-01,60.54
2023-10-31,59.27
2023-10-30,58.74
2023-10-27,58.31
2023-10-26,59.77
2023-10-25,59.47
2023-10-24,59.08
2023-10-23,58.05
2023-10-20,58.1
2023-10-19,59.05
2023-10-18,59.33
2023-10-17,59.51
2023-10-16,59.56
2023-10-13,58.86
2023-10-12,58.15
2023-10-11,58.81
2023-10-10,58.06
2023-10-09,57.65
2023-10-06,57.35
2023-10-05,56.48
2023-10-04,56.63
2023-10-03,55.84
2023-10-02,55.03
2023-09-29,57.22
2023-09-28,56.87
2023-09-27,57.21
2023-09-26,57.72
2023-09-25,59.49
2023-09-22,59.73
2023-09-21,59.38
2023-09-20,59.96
2023-09-19,58.52
2023-09-18,57.99
2023-09-15,57.97
2023-09-14,58.68
2023-09-13,58.13
2023-09-12,57.21
2023-09-11,57.43
2023-09-08,57.07
2023-09-07,56.6
2023-09-06,56.34
2023-09-05,55.59
2023-09-01,56.51
2023-08-31,57.13
2023-08-30,57.68
2023-08-29,57.95
2023-08-28,57.85
2023-08-25,57.58
2023-08-24,57.01
2023-08-23,57.52
2023-08-22,57.95
2023-08-21,57.96
2023-08-18,58.19
2023-08-17,58.17
2023-08-16,58.43
2023-08-15,58.12
2023-08-14,59.24
2023-08-11,59.7
2023-08-10,59.5
2023-08-09,59.69
2023-08-08,59.64
2023-08-07,59.76
2023-08-04,60.39
2023-08-03,61.32
2023-08-02,62.88
2023-08-01,62.85
2023-07-31,62.73
2023-07-28,62.89
2023-07-27,62.87
2023-07-26,65.05
2023-07-25,64.96
2023-07-24,65.08
2023-07-21,65.21
2023-07-20,64.56
2023-07-19,63.39
2023-07-18,63.0
2023-07-17,63.21
2023-07-14,64.27
2023-07-13,64.33
2023-07-12,63.79
2023-07-11,63.12
2023-07-10,62.65
2023-07-07,62.93
2023-07-06,63.76
2023-07-05,63.79
2023-07-03,62.98
2023-06-30,62.17
2023-06-29,61.29
2023-06-28,61.24
2023-06-27,62.44
2023-06-26,62.86
2023-06-23,62.1
2023-06-22,62.76
2023-06-21,62.81
2023-06-20,63.07
2023-06-16,63.92
2023-06-15,64.32
2023-06-14,62.49
2023-06-13,63.13
2023-06-12,63.57
2023-06-09,63.45
2023-06-08,64.14
2023-06-07,64.31
2023-06-06,63.56
2023-06-05,63.95
2023-06-02,63.14
2023-06-01,63.55
2023-05-31,65.29
2023-05-30,64.15
2023-05-26,64.32
2023-05-25,64.29
2023-05-24,65.13
2023-05-23,65.59
2023-05-22,65.88
2023-05-19,65.93
2023-05-18,65.87
2023-05-17,66.04
2023-05-16,66.59
2023-05-15,67.91
2023-05-12,68.89
2023-05-11,68.62
2023-05-10,69.3
2023-05-09,69.11
2023-05-08,69.32
2023-05-05,69.57
2023-05-04,69.11
2023-05-03,68.5
2023-05-02,69.1
2023-05-01,70.17
2023-04-28,69.91
2023-04-27,70.26
2023-04-26,69.68
2023-04-25,71.18
2023-04-24,71.03
2023-04-21,70.44
2023-04-20,70.69
2023-04-19,70.59
2023-04-18,69.76
2023-04-17,70.32
2023-04-14,70.14
2023-04-13,71.04
2023-04-12,71.04
2023-04-11,71.04
2023-04-10,70.76
2023-04-06,71.27
2023-04-05,71.12
2023-04-04,68.45
2023-04-03,67.52
